control_label,predominant_degree_label,dominant_program,region_label,locale_label,institutions,avg_default,avg_pell,avg_completion,avg_net_price
Public,Bachelor's,Business,Mid East,City,4,0.0,0.526475,0.60755,10718.5
Public,Bachelor's,Business,Mid East,Suburb,7,0.0,0.3751857142857143,0.3332571428571428,17756.428571428572
Public,Associate's,STEM,Plains,Rural,1,0.0,0.3366,0.5686,13843.0
Public,Associate's,STEM,New England,City,1,0.0,0.3815,0.193,6313.0
Private nonprofit,Graduate,STEM,Southwest,Suburb,1,0.0,,,
Public,Associate's,Humanities,New England,Suburb,3,0.0,0.302,0.22353333333333333,5882.333333333333
Public,Associate's,Humanities,Plains,City,7,0.0,0.2765714285714286,0.28865714285714283,10290.142857142857
Public,Associate's,Humanities,Plains,Rural,5,0.0,0.22210000000000002,0.41494,9069.6
Public,Associate's,Humanities,Plains,Suburb,4,0.0,0.2495,0.29033333333333333,8871.0
Public,Associate's,Humanities,Plains,Town,22,0.0,0.26800454545454544,0.40162857142857145,9023.0
Public,Associate's,Humanities,Rocky Mountains,City,3,0.0,0.2129,0.2857,9206.333333333334
Public,Associate's,Humanities,Rocky Mountains,Suburb,2,0.0,0.2349,0.2973,8671.5
Public,Associate's,Humanities,Rocky Mountains,Town,5,0.0,0.24028,0.35413333333333336,9329.6
Public,Associate's,Humanities,Southeast,City,30,0.0,0.3328166666666667,0.29479999999999995,6076.066666666667
Public,Associate's,Health,Plains,Rural,4,0.0,0.2506,0.45432500000000003,10027.5
Public,Associate's,Humanities,Southeast,Suburb,21,0.0,0.32184761904761905,0.30272727272727273,7684.428571428572
Public,Associate's,Health,Plains,City,7,0.0,0.27002857142857145,0.38153333333333334,12360.857142857143
Public,Associate's,Health,New England,Town,4,0.0,0.32555,0.33399999999999996,10906.25
Public,Associate's,Health,New England,Suburb,5,0.0,0.3258,0.203825,8329.6
Public,Associate's,Health,New England,Rural,2,0.0,0.3422,0.2711,14316.0
Public,Associate's,Health,New England,City,5,0.0,0.34059999999999996,0.24738000000000002,8807.4
Public,Associate's,Health,Plains,Suburb,3,0.0,0.29463333333333336,0.2287,10334.0
Public,Bachelor's,Education,Great Lakes,Town,1,0.0,0.227,0.6277,20918.0
Public,Associate's,Health,Mid East,Suburb,9,0.0,0.3437111111111111,0.2531777777777778,8519.777777777777
Public,Associate's,Humanities,New England,City,3,0.0,0.3727666666666667,0.2467,9710.333333333334
Public,Associate's,Health,Southwest,Town,4,0.0,0.381875,0.35512499999999997,8279.5
Public,Associate's,Health,Southwest,Suburb,1,0.0,0.2312,0.3355,4233.0
Public,Associate's,Health,Southwest,City,4,0.0,0.348225,0.28536666666666666,4931.75
Public,Associate's,Humanities,Great Lakes,Suburb,10,0.0,0.27465,0.2888571428571428,7932.8
Public,Associate's,Health,Southeast,Town,5,0.0,0.38634,0.317075,8505.4
Public,Associate's,Health,Southeast,Suburb,2,0.0,0.41500000000000004,0.21945,6517.5
Public,Associate's,Humanities,Great Lakes,Town,7,0.0,0.2787857142857143,0.38516,7736.571428571428
Public,Associate's,Health,Southeast,City,5,0.0,0.36738,0.27055,6687.5
Public,Associate's,Health,Rocky Mountains,Town,1,0.0,0.1746,0.4289,8890.0
Public,Associate's,Health,Rocky Mountains,Rural,2,0.0,0.20625,0.2562,9729.5
Public,Associate's,Health,Rocky Mountains,City,4,0.0,0.2472,0.35546666666666665,8781.0
Public,Associate's,Health,Plains,Town,7,0.0,0.26185714285714284,0.4651,11016.0
Public,Associate's,Humanities,Mid East,Rural,15,0.0,0.23902666666666667,0.3338,7659.533333333334
Public,Associate's,Humanities,Mid East,Suburb,21,0.0,0.3154666666666667,0.2783761904761905,8315.42857142857
Public,Associate's,Humanities,Mid East,Town,5,0.0,0.23165999999999998,0.3424,7844.2
Public,Associate's,Health,Mid East,Town,5,0.0,0.3347,0.24556,10054.8
Public,Associate's,Health,Mid East,Rural,6,0.0,0.34156666666666663,0.27895,8935.333333333334
Private nonprofit,Not classified,STEM,Far West,Other/Unknown,17,0.0,,,
Private nonprofit,Not classified,STEM,Southeast,Other/Unknown,43,0.0,,,
Private nonprofit,Not classified,STEM,Rocky Mountains,Other/Unknown,3,0.0,,,
Public,Associate's,STEM,Far West,Suburb,4,0.0,0.2269,0.38955,4584.75
Public,Associate's,STEM,Great Lakes,Rural,4,0.0,0.281575,0.3808666666666667,9320.25
Public,Associate's,STEM,Great Lakes,Suburb,2,0.0,0.24745,0.22899999999999998,7125.0
Public,Associate's,STEM,Great Lakes,Town,3,0.0,0.24973333333333333,0.412,12224.0
Public,Associate's,STEM,Mid East,City,1,0.0,0.1759,0.3524,2801.0
Private nonprofit,Not classified,STEM,Plains,Other/Unknown,15,0.0,,,
Public,Associate's,STEM,Mid East,Rural,1,0.0,0.5463,,17393.0
Public,Associate's,STEM,Mid East,Suburb,1,0.0,0.2339,0.2885,8882.0
Public,Associate's,STEM,Mid East,Town,1,0.0,0.2541,,18192.0
Private nonprofit,Not classified,STEM,New England,Other/Unknown,6,0.0,,,
Public,Associate's,Humanities,Far West,Suburb,38,0.0,0.21751052631578946,0.3469285714285714,6551.8421052631575
Private nonprofit,Not classified,STEM,Mid East,Other/Unknown,27,0.0,,,
Public,Associate's,STEM,New England,Suburb,2,0.0,0.23795,0.2862,12806.0
Public,Associate's,STEM,Outlying Areas,Rural,1,0.0,0.815,,12386.0
Public,Associate's,STEM,Far West,Rural,2,0.0,0.24175,0.36965,7803.5
Private nonprofit,Not classified,STEM,Southwest,Other/Unknown,9,0.0,,,
Public,Associate's,Health,Mid East,City,4,0.0,0.384675,0.21186666666666668,10405.5
Public,Associate's,Business,Far West,City,2,0.0,0.2274,0.30425,8533.0
Public,Associate's,Health,Great Lakes,Suburb,4,0.0,0.175,0.242,7760.5
Public,Associate's,Humanities,Southwest,Rural,3,0.0,0.25933333333333336,0.3205,6658.666666666667
Public,Associate's,Health,Great Lakes,Rural,1,0.0,0.3164,0.1792,10100.0
Public,Associate's,Humanities,Southwest,Suburb,4,0.0,0.23609999999999998,0.2303666666666667,7719.75
Public,Associate's,Health,Great Lakes,City,2,0.0,0.25645,0.24125,4435.0
Public,Associate's,Humanities,Southwest,Town,22,0.0,0.27356363636363634,0.3125,7259.090909090909
Public,Associate's,Health,Far West,Rural,1,0.0,0.2541,0.3095,7500.0
Public,Associate's,STEM,Far West,City,9,0.0,0.18415555555555554,0.4684,6230.777777777777
Public,Associate's,Health,Far West,City,3,0.0,0.2761,,6127.5
Public,Associate's,Business,Rocky Mountains,Town,1,0.0,0.2367,0.4876,7070.0
Public,Associate's,Business,Plains,Suburb,1,0.0,0.2913,0.1569,9804.0
Public,Associate's,Business,New England,City,1,0.0,0.3386,0.2759,7489.0
Public,Associate's,Business,Mid East,City,2,0.0,0.41525,0.25460000000000005,6869.0
Public,Associate's,Business,Great Lakes,Suburb,1,0.0,0.2219,,9219.0
Public,Associate's,Business,Far West,Town,1,0.0,0.317,0.3184,10168.0
Public,Associate's,Humanities,New England,Rural,2,0.0,0.33345,0.28955,8729.5
Private for-profit,Associate's,Business,Far West,City,2,0.0,0.4681,,53393.0
Public,Bachelor's,Education,Mid East,Town,4,0.0,0.333675,0.6012,18571.0
Public,Bachelor's,Social Science & Public Service,Plains,City,1,0.0,0.463,0.221,12484.0
Public,Certificates,Health,Rocky Mountains,Suburb,1,0.0,0.1049,,10790.0
Public,Certificates,Health,Rocky Mountains,Town,2,0.0,0.2383,0.3672,8835.5
Public,Certificates,Health,Southeast,City,4,0.0,0.44665,0.30116666666666664,10996.666666666666
Public,Certificates,Health,Southeast,Rural,8,0.0,0.411175,0.5494,7416.375
Public,Certificates,Health,Southeast,Suburb,6,0.0,0.25865,0.45974000000000004,12367.4
Public,Certificates,Health,Southwest,Rural,3,0.0,0.20040000000000002,0.23386666666666667,8802.0
Public,Certificates,Health,Southwest,Town,2,0.0,0.28975,0.3426,3744.5
Public,Certificates,Humanities,Far West,City,9,0.0,0.2258888888888889,0.3469333333333333,7172.888888888889
